Date,Time,Currency,News,Impact,Forecast,Previous,Direction
1/18/2017,4:00,EUR,CPI (y/y),high,1.10%,1.10%,1
1/18/2017,7:30,USD,CPI (m/m),high,0.30%,0.20%,1
1/18/2017,7:30,USD,Core CPI (m/m),high,0.20%,0.20%,1
1/18/2017,13:00,USD,Fed's Beige Book Released,high,0,0,0
1/19/2017,6:45,EUR,ECB - Deposit Rate,high,-0.40%,-0.40%,-1
1/19/2017,6:45,EUR,ECB Interest Rate Decision,high,0.00%,0.00%,-1
1/19/2017,7:30,EUR,ECB President Draghi gives press conference following interest rate announcement,high,0,0,0
1/20/2017,3:30,GBP,Retail Sales (m/m),high,-0.10%,-0.10%,1
1/20/2017,3:30,GBP,Core Retail Sales (m/m),high,-0.40%,0.20%,1
1/20/2017,3:30,GBP,Retail Sales (y/y),high,7.20%,5.70%,1
1/20/2017,3:30,GBP,Core Retail Sales (y/y),high,7.50%,6.40%,1
1/25/2017,3:00,EUR,German IFO Business Climate,high,111.3,111,1
1/25/2017,3:00,EUR,German IFO Expectations,high,105.8,105.5,1
1/25/2017,3:00,EUR,German IFO Current Conditions,high,117,116.7,1
1/26/2017,3:30,GBP,GDP (1st Est.) (q/q),high,0.50%,0.60%,1
1/26/2017,3:30,GBP,GDP (1st Est.) (y/y),high,2.10%,2.20%,1
1/27/2017,All Day,GBP,Sovereign Debt to be Rated by Moody's,high,0,0,0
1/27/2017,7:30,USD,GDP (q/q ann),high,2.20%,3.50%,1
1/27/2017,9:00,USD,UoM Consumer Sentiment Index,high,98.1,98.1,1
1/30/2017,All Day,JPY,BoJ monetary policy meeting (to 31st),high,0,0,0
1/31/2017,0:30,JPY,BoJ Policy Statement and Governor Kuroda Press Conference,high,0,0,0
1/31/2017,4:00,EUR,CPI (y/y),high,1.50%,1.10%,1
1/31/2017,9:00,USD,Consumer Confidence,high,112.8,113.3*,1
2/1/2017,7:15,USD,ADP National Employment Report,high,167.0k,151.0k*,1
2/1/2017,9:00,USD,ISM Manufacturing,high,55,54.5,1
2/1/2017,13:00,USD,Federal Funds Rate,high,0.75%,0.75%,-1
2/2/2017,6:00,GBP,Official Bank Rate,high,0.25%,0.25%,-1
