,year,neighborhood,sale_price_sqr_foot
0,2010,Alamo Square,291.18294547229095
1,2010,Mission Bay,489.80537777998506
2,2010,Mission Dolores,257.98799863500693
3,2010,Mission Terrace,262.87602564056425
4,2010,Nob Hill,307.67747674427835
5,2010,Noe Valley,381.13844514705266
6,2010,Oceanview,282.11967050133603
7,2010,Outer Parkside,432.19529211245555
8,2010,Outer Richmond ,338.12619999607017
9,2010,Outer Sunset,368.31155203937294
10,2010,Pacific Heights,496.51601414694983
11,2010,Park North,326.01715041025074
12,2010,Parnassus/Ashbury Heights,434.25500394602585
13,2010,Miraloma Park,680.6087291389301
14,2010,Portola,302.15611319728896
15,2010,Presidio Heights,549.4179312485746
16,2010,Russian Hill,362.34822391312133
17,2010,South Beach,1037.0997886617895
18,2010,South of Market,401.2959764896399
19,2010,Sunnyside,542.5316819894505
20,2010,Telegraph Hill,524.7935090952678
21,2010,Twin Peaks,331.55599614560697
22,2010,Union Square District,569.1934475267735
23,2010,Van Ness/ Civic Center,108.0129268765048
24,2010,West Portal,392.30076417058257
25,2010,Western Addition,215.56913431487555
26,2010,Yerba Buena,333.12677384193887
27,2010,Potrero Hill,491.45000385678617
28,2010,Marina,387.392839476922
29,2010,Parkside,274.16674158669116
30,2010,Lone Mountain,398.4588759923028
31,2010,Lower Pacific Heights,374.05763601016855
32,2010,Bayview,170.09866536400102
33,2010,Buena Vista Park,347.3949194037114
34,2010,Central Richmond,319.0276225530687
35,2010,Central Sunset,418.1724927089675
36,2010,Corona Heights,369.35933800413665
37,2010,Cow Hollow,569.3799679261333
38,2010,Croker Amazon,165.6457300650791
39,2010,Diamond Heights,456.9308221979013
40,2010,Downtown ,241.80455206485138
41,2010,Eureka Valley/Dolores Heights,403.1183126490986
42,2010,Excelsior,364.92833570851764
43,2010,Financial District North,401.7499665916537
44,2010,Financial District South,162.82121004772353
45,2010,Anza Vista,267.9325826799483
46,2010,Inner Richmond,285.82235848868265
47,2010,Glen Park,715.5864380979738
48,2010,Golden Gate Heights,551.8011188234774
49,2010,Haight Ashbury,254.47377914469143
50,2010,Hayes Valley,272.28497956385485
51,2010,Hunters Point,170.62491987132685
52,2010,Ingleside ,275.05668560990915
53,2010,Inner Mission,238.35002040677708
54,2010,Inner Parkside,199.70200378219917
55,2010,Forest Knolls,209.0493266346945
56,2010,Inner Sunset,275.76972957461044
57,2010,Jordan Park/Laurel Heights,419.88781187646566
58,2010,Lake --The Presidio,320.79691049204627
59,2011,Outer Parkside,241.94565649181578
60,2011,Outer Richmond ,271.09013956932756
61,2011,Miraloma Park,414.67606477603755
62,2011,Pacific Heights,509.0214800287398
